WSpeed_1,Power_1
11.8,0.7762
11.9,0.7862
13.4,0.80871
13.1,0.77871
12.7,0.73871
13.3,0.79871
13,0.76871
12.7,0.73871
17.6,0.92195
17.7,0.93195
17.3,0.89195
17.1,0.87195
16.8,0.84195
17,0.86195
11,0.76397
10.5,0.71397
10.8,0.74397
10.7,0.73397
10.4,0.70397
11,0.76397
14.3,0.94657
14.4,0.95657
14.4,0.95657
14.2,0.93657
13.8,0.89657
14.3,0.94657
9.5,0.69346
9,0.64346
9,0.64346
9.5,0.69346
9,0.64346
9.1,0.65346
10.9,0.73547
10.7,0.71547
11,0.74547
11.1,0.75547
11.1,0.75547
10.7,0.71547
10.1,0.65547
5.7,0.12932
5.5,0.10932
5.1,0.06932
5.5,0.10932
5.2,0.07932
5.1,0.06932
6,0.15339
5.7,0.12339
6.1,0.16339
6.1,0.16339
5.8,0.13339
5.3,0.08339
11.9,0.86033
11.1,0.78033
11.6,0.83033
11.9,0.86033
11.4,0.81033
11.8,0.85033
13.3,0.87866
12.8,0.82866
13.3,0.87866
13.4,0.88866
13,0.84866
13,0.84866
11.6,0.80192
10.9,0.73192
11.2,0.76192
11.3,0.77192
11.6,0.80192
11.3,0.77192
12.1,0.8062
11.5,0.7462
12.3,0.8262
11.8,0.7762
12,0.7962
11.4,0.7362
13.4,0.80871
13.6,0.82871
13.3,0.79871
12.6,0.72871
13.5,0.81871
12.8,0.74871
17.6,0.92195
17.6,0.92195
17.6,0.92195
17.7,0.93195
16.8,0.84195
17.6,0.92195
11,0.76397
10.8,0.74397
11.1,0.77397
10.5,0.71397
10.7,0.73397
10.7,0.73397
14.3,0.94657
14.2,0.93657
14,0.91657
14.3,0.94657
13.7,0.88657
14.2,0.93657
9.5,0.69346
9.3,0.67346
8.8,0.62346
9.5,0.69346
9.1,0.65346
9.1,0.65346
10.9,0.73547
10.6,0.70547
10.1,0.65547
10.5,0.69547
11,0.74547
10.5,0.69547
10.2,0.66547
5.7,0.12932
5.2,0.07932
5.7,0.12932
5.3,0.08932
5.2,0.07932
5.1,0.06932
6,0.15339
6.2,0.17339
5.3,0.08339
6.2,0.17339
5.9,0.14339
5.7,0.12339
11.9,0.86033
11.2,0.79033
11.2,0.79033
11.4,0.81033
11.4,0.81033
11.6,0.83033
13.3,0.87866
13.4,0.88866
13.4,0.88866
12.6,0.80866
12.9,0.83866
12.6,0.80866
11.6,0.80192
11.6,0.80192
10.8,0.72192
11.3,0.77192
11.1,0.75192
11.8,0.82192
12.1,0.8062
11.7,0.7662
11.7,0.7662
11.9,0.7862
12,0.7962
11.9,0.7862
13.4,0.80871
13.1,0.77871
13.4,0.80871
13.5,0.81871
13.2,0.78871
13.1,0.77871
17.6,0.92195
16.8,0.84195
17.4,0.90195
17,0.86195
17.4,0.90195
17.2,0.88195
11,0.76397
11,0.76397
10.9,0.75397
10.8,0.74397
10.3,0.69397
10.7,0.73397
14.3,0.94657
14,0.91657
14.2,0.93657
14.3,0.94657
14.1,0.92657
14.3,0.94657
9.5,0.69346
9.5,0.69346
9.5,0.69346
9.6,0.70346
8.7,0.61346
9.4,0.68346
10.9,0.73547
10.8,0.72547
10.1,0.65547
11.1,0.75547
5.7,0.12932
5.4,0.09932
4.9,0.04932
5,0.05932
4.9,0.04932
5.1,0.06932
6,0.15339
5.7,0.12339
6.2,0.17339
6,0.15339
5.6,0.11339
5.5,0.10339
11.9,0.86033
11.1,0.78033
11.9,0.86033
11.9,0.86033
11.6,0.83033
11.8,0.85033
13.3,0.87866
13.5,0.89866
12.6,0.80866
12.6,0.80866
13,0.84866
12.8,0.82866
11.6,0.80192
10.8,0.72192
11.2,0.76192
11,0.74192
11.5,0.79192
10.8,0.72192
12.1,0.8062
11.4,0.7362
12.3,0.8262
11.4,0.7362
11.5,0.7462
12.1,0.8062
13.4,0.80871
12.7,0.73871
13.4,0.80871
12.9,0.75871
12.6,0.72871
13.3,0.79871
17.6,0.92195
17,0.86195
17.5,0.91195
17,0.86195
17.4,0.90195
17.4,0.90195
11,0.76397
10.6,0.72397
10.8,0.74397
11.2,0.78397
10.5,0.71397
11.2,0.78397
14.3,0.94657
14.5,0.96657
14.3,0.94657
14,0.91657
14.4,0.95657
13.9,0.90657
9.5,0.69346
9.6,0.70346
9.3,0.67346
8.8,0.62346
9.2,0.66346
9.5,0.69346
10.9,0.73547
10.3,0.67547
11.1,0.75547
11,0.74547
10.1,0.65547
10.5,0.69547
10.4,0.68547
5.7,0.12932
5.7,0.12932
5.1,0.06932
5.7,0.12932
4.9,0.04932
5.1,0.06932
6,0.15339
6.2,0.17339
6,0.15339
5.2,0.07339
5.5,0.10339
5.8,0.13339
11.9,0.86033
11.4,0.81033
12.1,0.88033
11.3,0.80033
11.8,0.85033
11.7,0.84033
13.3,0.87866
12.8,0.82866
12.7,0.81866
13.3,0.87866
12.5,0.79866
13.3,0.87866
11.6,0.80192
11,0.74192
11.5,0.79192
10.8,0.72192
11,0.74192
11.6,0.80192
12.1,0.8062
11.5,0.7462
11.5,0.7462
11.7,0.7662
12,0.7962
12,0.7962
13.4,0.80871
13.6,0.82871
12.9,0.75871
13.1,0.77871
13.4,0.80871
13.5,0.81871
17.6,0.92195
16.9,0.85195
17,0.86195
17.5,0.91195
17.3,0.89195
16.9,0.85195
11,0.76397
11.1,0.77397
10.8,0.74397
10.3,0.69397
10.6,0.72397
10.9,0.75397
14.3,0.94657
14.2,0.93657
13.6,0.87657
13.9,0.90657
14.4,0.95657
13.7,0.88657
9.5,0.69346
9.6,0.70346
9.3,0.67346
9.4,0.68346
9.6,0.70346
9.4,0.68346
10.9,0.73547
10.8,0.72547
11,0.74547
10.7,0.71547
10.2,0.66547
10.1,0.65547
11.1,0.75547
5.7,0.12932
4.9,0.04932
5,0.05932
5.9,0.14932
4.9,0.04932
5.6,0.11932
6,0.15339
5.2,0.07339
5.2,0.07339
5.9,0.14339
5.7,0.12339
6.1,0.16339
11.9,0.86033
11.6,0.83033
11.4,0.81033
12.1,0.88033
11.7,0.84033
12.1,0.88033
13.3,0.87866
12.8,0.82866
12.9,0.83866
12.9,0.83866
13.2,0.86866
13.1,0.85866
11.6,0.80192
10.8,0.72192
10.9,0.73192
11.8,0.82192
11.7,0.81192
10.8,0.72192
12.1,0.8062
11.4,0.7362
12.1,0.8062
11.6,0.7562
11.7,0.7662
11.8,0.7762
13.4,0.80871
13.6,0.82871
13.4,0.80871
12.8,0.74871
13,0.76871
13.5,0.81871
17.6,0.92195
17.5,0.91195
17.3,0.89195
17.6,0.92195
17.3,0.89195
17.6,0.92195
11,0.76397
10.3,0.69397
10.3,0.69397
10.3,0.69397
10.5,0.71397
10.6,0.72397
14.3,0.94657
13.6,0.87657
14.3,0.94657
14.3,0.94657
14.3,0.94657
13.6,0.87657
9.5,0.69346
8.9,0.63346
9.1,0.65346
8.7,0.61346
9.3,0.67346
9,0.64346
10.9,0.73547
11,0.74547
10.4,0.68547
10.6,0.70547
11.1,0.75547
10.3,0.67547
10.5,0.69547
5.7,0.12932
5,0.05932
5.1,0.06932
5.4,0.09932
5.7,0.12932
5.7,0.12932
6,0.15339
5.7,0.12339
6.2,0.17339
5.4,0.09339
6.2,0.17339
5.6,0.11339
11.9,0.86033
12.1,0.88033
12.1,0.88033
11.2,0.79033
11.8,0.85033
11.6,0.83033
13.3,0.87866
12.6,0.80866
13.1,0.85866
12.5,0.79866
13.2,0.86866
12.6,0.80866
11.6,0.80192
11.7,0.81192
11.7,0.81192
11.6,0.80192
11.8,0.82192
11.6,0.80192
12.1,0.8062
11.8,0.7762
11.3,0.7262
12.2,0.8162
12.2,0.8162
12.2,0.8162
13.4,0.80871
13.2,0.78871
13.3,0.79871
13.5,0.81871
13,0.76871
12.7,0.73871
17.6,0.92195
17.2,0.88195
17.4,0.90195
17.3,0.89195
17,0.86195
16.8,0.84195
11,0.76397
10.2,0.68397
10.2,0.68397
11,0.76397
10.4,0.70397
10.9,0.75397
14.3,0.94657
14.1,0.92657
14.4,0.95657
14,0.91657
14.2,0.93657
13.6,0.87657
9.5,0.69346
8.8,0.62346
9.3,0.67346
8.7,0.61346
8.9,0.63346
9.5,0.69346
10.9,0.73547
10.5,0.69547
10.9,0.73547
10.8,0.72547
5.7,0.12932
5.2,0.07932
5.1,0.06932
5.1,0.06932
5.7,0.12932
5.9,0.14932
6,0.15339
5.8,0.13339
5.7,0.12339
5.7,0.12339
5.3,0.08339
6.1,0.16339
11.9,0.86033
11.9,0.86033
11.4,0.81033
11.6,0.83033
11.1,0.78033
11.6,0.83033
13.3,0.87866
13,0.84866
13,0.84866
13,0.84866
13.1,0.85866
12.7,0.81866
11.6,0.80192
11,0.74192
11.1,0.75192
11.7,0.81192
11.1,0.75192
11.7,0.81192
12.1,0.8062
11.4,0.7362
12.1,0.8062
12.1,0.8062
11.5,0.7462
11.3,0.7262
13.4,0.80871
13.1,0.77871
12.8,0.74871
12.8,0.74871
12.7,0.73871
12.6,0.72871
17.6,0.92195
17.8,0.94195
17.3,0.89195
17.5,0.91195
17.2,0.88195
17.2,0.88195
11,0.76397
11,0.76397
10.4,0.70397
11.1,0.77397
11.2,0.78397
10.2,0.68397
14.3,0.94657
13.7,0.88657
13.6,0.87657
13.7,0.88657
14.4,0.95657
14.1,0.92657
9.5,0.69346
8.9,0.63346
9.4,0.68346
9.4,0.68346
8.8,0.62346
9.4,0.68346
10.9,0.73547
10.3,0.67547
10.3,0.67547
10.3,0.67547
10.4,0.68547
10.7,0.71547
10.8,0.72547
5.7,0.12932
5.7,0.12932
4.9,0.04932
5.7,0.12932
5.6,0.11932
5.4,0.09932
6,0.15339
5.3,0.08339
6.2,0.17339
5.4,0.09339
5.8,0.13339
6.2,0.17339
11.9,0.86033
11.9,0.86033
11.8,0.85033
11.5,0.82033
11.3,0.80033
11.5,0.82033
13.3,0.87866
13.1,0.85866
13.4,0.88866
13.4,0.88866
13.4,0.88866
13.3,0.87866
11.6,0.80192
11.2,0.76192
11.1,0.75192
10.9,0.73192
11,0.74192
11.2,0.76192
12.1,0.8062
12.3,0.8262
11.6,0.7562
11.5,0.7462
12.3,0.8262
11.5,0.7462
13.4,0.80871
12.7,0.73871
12.7,0.73871
13,0.76871
13.4,0.80871
13,0.76871
17.6,0.92195
17.2,0.88195
17.6,0.92195
17.4,0.90195
16.8,0.84195
17.6,0.92195
11,0.76397
10.5,0.71397
10.6,0.72397
11.2,0.78397
10.9,0.75397
10.3,0.69397
14.3,0.94657
14.4,0.95657
14.1,0.92657
13.7,0.88657
14.4,0.95657
14.5,0.96657
9.5,0.69346
9.1,0.65346
8.8,0.62346
9.4,0.68346
9.1,0.65346
9.7,0.71346
10.9,0.73547
10.6,0.70547
10.6,0.70547
10.3,0.67547
10.3,0.67547
10.3,0.67547
10.1,0.65547
5.7,0.12932
5,0.05932
5,0.05932
5.4,0.09932
5.3,0.08932
5.5,0.10932
6,0.15339
5.9,0.14339
5.7,0.12339
5.5,0.10339
6,0.15339
5.6,0.11339
11.9,0.86033
11.4,0.81033
11.1,0.78033
11.5,0.82033
11.1,0.78033
11.4,0.81033
13.3,0.87866
12.7,0.81866
13,0.84866
13.5,0.89866
13.1,0.85866
13.1,0.85866
11.6,0.80192
11,0.74192
10.8,0.72192
11.3,0.77192
11.8,0.82192
11.3,0.77192
12.1,0.8062
11.6,0.7562
11.4,0.7362
12.3,0.8262
12.2,0.8162
11.9,0.7862
13.4,0.80871
12.8,0.74871
12.7,0.73871
12.6,0.72871
12.7,0.73871
13,0.76871
17.6,0.92195
16.9,0.85195
16.8,0.84195
17.3,0.89195
17.7,0.93195
17.1,0.87195
11,0.76397
10.8,0.74397
10.3,0.69397
11.1,0.77397
11,0.76397
11.1,0.77397
14.3,0.94657
13.9,0.90657
14,0.91657
13.8,0.89657
13.6,0.87657
14,0.91657
9.5,0.69346
8.8,0.62346
8.9,0.63346
9.2,0.66346
9.6,0.70346
9.1,0.65346
10.9,0.73547
10.8,0.72547
10.3,0.67547
10.6,0.70547
10.4,0.68547
10.2,0.66547
10.8,0.72547
5.7,0.12932
5,0.05932
5.3,0.08932
5.7,0.12932
5.3,0.08932
5.3,0.08932
6,0.15339
5.7,0.12339
5.9,0.14339
5.7,0.12339
6,0.15339
6.2,0.17339
11.9,0.86033
11.9,0.86033
11.9,0.86033
11.8,0.85033
11.6,0.83033
11.9,0.86033
13.3,0.87866
13,0.84866
12.6,0.80866
12.8,0.82866
13.4,0.88866
12.8,0.82866
11.6,0.80192
10.9,0.73192
11,0.74192
11.8,0.82192
11.4,0.78192
11.8,0.82192
12.1,0.8062
11.9,0.7862
11.7,0.7662
11.6,0.7562
12,0.7962
11.6,0.7562
13.4,0.80871
13.2,0.78871
13,0.76871
12.6,0.72871
13.1,0.77871
12.9,0.75871
17.6,0.92195
17.6,0.92195
17.6,0.92195
17.5,0.91195
16.9,0.85195
17.6,0.92195
11,0.76397
10.9,0.75397
11,0.76397
10.6,0.72397
11.2,0.78397
10.5,0.71397
14.3,0.94657
13.7,0.88657
13.5,0.86657
14.5,0.96657
13.8,0.89657
13.7,0.88657
9.5,0.69346
9.4,0.68346
9.7,0.71346
9.7,0.71346
9.1,0.65346
9.6,0.70346
10.9,0.73547
10.1,0.65547
10.3,0.67547
11,0.74547
5.7,0.12932
5.9,0.14932
5.1,0.06932
5.4,0.09932
5.9,0.14932
5,0.05932
6,0.15339
5.8,0.13339
5.5,0.10339
5.4,0.09339
5.7,0.12339
5.4,0.09339
11.9,0.86033
11.8,0.85033
11.1,0.78033
11.9,0.86033
11.1,0.78033
11.8,0.85033
13.3,0.87866
12.8,0.82866
13.2,0.86866
13,0.84866
12.7,0.81866
13.5,0.89866
11.6,0.80192
11.4,0.78192
11,0.74192
11.8,0.82192
11.4,0.78192
11.2,0.76192
12.1,0.8062
11.4,0.7362
12.1,0.8062
11.3,0.7262
11.6,0.7562
12.1,0.8062
13.4,0.80871
13.6,0.82871
12.7,0.73871
12.7,0.73871
13.3,0.79871
12.9,0.75871
17.6,0.92195
17.7,0.93195
17.5,0.91195
17.7,0.93195
17.5,0.91195
17.5,0.91195
11,0.76397
10.3,0.69397
10.3,0.69397
10.5,0.71397
10.7,0.73397
10.8,0.74397
14.3,0.94657
14.2,0.93657
14.4,0.95657
14.5,0.96657
14.5,0.96657
13.6,0.87657
9.5,0.69346
8.7,0.61346
8.8,0.62346
9.2,0.66346
9,0.64346
8.8,0.62346
10.9,0.73547
10.4,0.68547
10.1,0.65547
10.4,0.68547
11,0.74547
11.1,0.75547
10.2,0.66547
5.7,0.12932
5.3,0.08932
5,0.05932
5.6,0.11932
5.9,0.14932
5.3,0.08932
6,0.15339
5.5,0.10339
5.6,0.11339
5.6,0.11339
6.1,0.16339
5.6,0.11339
11.9,0.86033
11.1,0.78033
11.1,0.78033
11.9,0.86033
11.1,0.78033
12,0.87033
13.3,0.87866
12.6,0.80866
12.5,0.79866
13,0.84866
13.4,0.88866
13.4,0.88866
11.6,0.80192
11.7,0.81192
11,0.74192
11.3,0.77192
11,0.74192
10.8,0.72192
12.1,0.8062
11.4,0.7362
11.8,0.7762
11.5,0.7462
11.5,0.7462
12,0.7962
13.4,0.80871
13,0.76871
13.6,0.82871
13.6,0.82871
13.6,0.82871
13.1,0.77871
17.6,0.92195
17.6,0.92195
17.6,0.92195
17.8,0.94195
17.3,0.89195
17.5,0.91195
11,0.76397
10.5,0.71397
10.5,0.71397
10.9,0.75397
10.9,0.75397
10.2,0.68397
14.3,0.94657
14,0.91657
14.4,0.95657
13.9,0.90657
14.4,0.95657
13.9,0.90657
9.5,0.69346
8.8,0.62346
9.3,0.67346
9.1,0.65346
9.4,0.68346
9.7,0.71346
10.9,0.73547
10.8,0.72547
10.3,0.67547
10.5,0.69547
10.5,0.69547
10.2,0.66547
10.4,0.68547
5.7,0.12932
5.5,0.10932
5.4,0.09932
5.2,0.07932
5.1,0.06932
4.9,0.04932
6,0.15339
6.1,0.16339
5.7,0.12339
5.3,0.08339
5.5,0.10339
5.3,0.08339
11.9,0.86033
12.1,0.88033
11.5,0.82033
11.7,0.84033
11.7,0.84033
11.1,0.78033
13.3,0.87866
12.7,0.81866
13,0.84866
13,0.84866
12.8,0.82866
13.5,0.89866
11.6,0.80192
11.5,0.79192
11.7,0.81192
11.6,0.80192
11.6,0.80192
11.3,0.77192
12.1,0.8062
12,0.7962
11.6,0.7562
12.3,0.8262
11.3,0.7262
11.5,0.7462
13.4,0.80871
12.7,0.73871
13,0.76871
13.1,0.77871
13.3,0.79871
13,0.76871
17.6,0.92195
17.7,0.93195
17.2,0.88195
17.7,0.93195
17.7,0.93195
17,0.86195
11,0.76397
11.2,0.78397
10.4,0.70397
11.2,0.78397
10.8,0.74397
11.2,0.78397
14.3,0.94657
13.6,0.87657
13.9,0.90657
14.1,0.92657
13.7,0.88657
14.5,0.96657
9.5,0.69346
9.5,0.69346
9.1,0.65346
9.7,0.71346
8.7,0.61346
9.4,0.68346
10.9,0.73547
11,0.74547
10.2,0.66547
10.2,0.66547
10.3,0.67547
10.6,0.70547
10.7,0.71547
5.7,0.12932
4.9,0.04932
5.9,0.14932
5.2,0.07932
5.7,0.12932
5,0.05932
6,0.15339
6.2,0.17339
5.8,0.13339
6.2,0.17339
6,0.15339
6,0.15339
11.9,0.86033
11.8,0.85033
11.6,0.83033
11.8,0.85033
11.4,0.81033
12.1,0.88033
13.3,0.87866
12.7,0.81866
13.1,0.85866
12.8,0.82866
12.5,0.79866
12.5,0.79866
11.6,0.80192
11.5,0.79192
11.7,0.81192
11,0.74192
11.6,0.80192
10.8,0.72192
12.1,0.8062
11.5,0.7462
11.9,0.7862
11.4,0.7362
11.6,0.7562
12.3,0.8262
13.4,0.80871
12.7,0.73871
13.3,0.79871
13.4,0.80871
12.8,0.74871
13.1,0.77871
17.6,0.92195
17.7,0.93195
17.3,0.89195
17.6,0.92195
17.4,0.90195
17.5,0.91195
11,0.76397
10.5,0.71397
10.5,0.71397
10.3,0.69397
11.1,0.77397
10.4,0.70397
14.3,0.94657
13.9,0.90657
14.5,0.96657
13.9,0.90657
14.2,0.93657
14.4,0.95657
9.5,0.69346
9.3,0.67346
9.4,0.68346
8.9,0.63346
9.1,0.65346
9.2,0.66346
10.9,0.73547
10.7,0.71547
10.6,0.70547
10.2,0.66547
5.7,0.12932
5.5,0.10932
5.9,0.14932
5.8,0.13932
5.9,0.14932
5.3,0.08932
6,0.15339
5.7,0.12339
5.8,0.13339
5.6,0.11339
5.2,0.07339
6.1,0.16339
11.9,0.86033
11.5,0.82033
11.1,0.78033
11.3,0.80033
11.9,0.86033
11.6,0.83033
13.3,0.87866
12.8,0.82866
12.8,0.82866
13.5,0.89866
12.8,0.82866
13.2,0.86866
11.6,0.80192
11.4,0.78192
11.6,0.80192
10.9,0.73192
11.4,0.78192
10.8,0.72192
12.1,0.8062
12,0.7962
11.6,0.7562
11.9,0.7862
11.6,0.7562
12,0.7962
13.4,0.80871
13.4,0.80871
13.3,0.79871
13.3,0.79871
12.8,0.74871
13.4,0.80871
17.6,0.92195
17.1,0.87195
17.3,0.89195
17.5,0.91195
17.1,0.87195
16.8,0.84195
11,0.76397
10.5,0.71397
10.7,0.73397
11.1,0.77397
11.2,0.78397
10.8,0.74397
14.3,0.94657
14.1,0.92657
13.7,0.88657
14.3,0.94657
14.1,0.92657
13.6,0.87657
9.5,0.69346
9.1,0.65346
9.1,0.65346
9.3,0.67346
8.8,0.62346
8.7,0.61346
10.9,0.73547
10.4,0.68547
11.1,0.75547
10.2,0.66547
10.1,0.65547
11,0.74547
10.7,0.71547
5.7,0.12932
5.2,0.07932
5.3,0.08932
5.3,0.08932
5.9,0.14932
5.3,0.08932
6,0.15339
5.5,0.10339
5.3,0.08339
6.1,0.16339
5.6,0.11339
5.7,0.12339
11.9,0.86033
11.2,0.79033
12.1,0.88033
11.5,0.82033
11.6,0.83033
11.1,0.78033
13.3,0.87866
12.8,0.82866
12.6,0.80866
13,0.84866
12.5,0.79866
13,0.84866
11.6,0.80192
11.3,0.77192
11.1,0.75192
11.4,0.78192
10.9,0.73192
10.9,0.73192
12.1,0.8062
12,0.7962
11.8,0.7762
12.3,0.8262
12.3,0.8262
11.3,0.7262
13.4,0.80871
13.4,0.80871
12.9,0.75871
12.8,0.74871
13.3,0.79871
13.3,0.79871
17.6,0.92195
17,0.86195
17.7,0.93195
17.2,0.88195
16.9,0.85195
17,0.86195
11,0.76397
10.8,0.74397
11,0.76397
11.1,0.77397
10.4,0.70397
10.9,0.75397
14.3,0.94657
13.9,0.90657
14.1,0.92657
14.2,0.93657
14.1,0.92657
13.6,0.87657
9.5,0.69346
8.7,0.61346
8.9,0.63346
9.4,0.68346
9.2,0.66346
8.8,0.62346
10.9,0.73547
10.9,0.73547
11,0.74547
11.1,0.75547
10.3,0.67547
10.6,0.70547
11.1,0.75547
5.7,0.12932
